fish_id,sex,length,gut_length,Gap,raker_length,Comp1,Comp2,Comp3,Station,basin,tanypodinae,orthocladinae,chironominii,tanytarsini,unknown larvae,adult_fly,Alona rectangula,Alona affinis/quad,Unknown alona,alonella nana,macrothrix hirsuticornix,acroperus harpae,daphnia longispina,resting eggs,Copepods_adult,Copepods_nauplii,ostracod,snail,bivalve,stickleback_eggs,chrinominae,alona,copepods,other_cladocerans,mollusks,Site,gut_length_res,Gap_res,raker_length_res,length_z,gut_length_z,Gap_z,raker_length_z,Comp1_z,Comp2_z,Comp3_z
RG210247,M,43,22,0.154,0.701,-0.0501643526877125,0.034563691105842,0.00626058557938542,HS,North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HS,2.3370766818872526,0.007896498058133805,-0.2362828521991918,-1.4660986164057555,0.4153177631437313,0.16737508107376134,-1.275577987714657,-0.9200332312738867,0.7422985504592594,0.22742817038062563
RG210248,F,44,15,0.245,1.0205,0.0902556101307011,-0.0138820367561643,-0.0127457538914133,HS,North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HS,-5.3531590422723605,0.09488479514016236,0.05825550251414952,-1.3470070095526065,-0.9513004243377461,2.0111890311798777,0.31449356556632574,1.6995821740905581,-0.32277893421201576,-0.5290454604711112
RG210249,M,52,15,0.211,1.4024999999999999,-0.0213742074199517,0.0245059054856879,-0.0505643574531837,HS,North,1,0,0,0,0,0,0,0,10,1,0,1,0,0,22,0,0,3,0,0,0,10,22,2,3,HS,-10.875044835549254,0.028791171796390846,0.24056234022087958,-0.39427415472741534,-1.9325849811401252,0.6102609888779451,1.2986808945415627,-0.38293646417364235,0.5211785160944167,-2.0342683043579797
RG210250,F,40,16,0.149,0.6599999999999999,0.0547786335325874,0.0236657481119735,-0.0213098130559692,HS,North,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HS,-1.592216145633914,0.014931606812048113,-0.2023979163392157,-1.8233734369652022,-0.2829499148106738,0.31649205538065006,-1.0926494429818776,1.0377387113319592,0.5027076881842114,-0.8699046217522309
RG210251,F,66,43,0.279,1.2454999999999998,0.00553744854789566,0.0604796988979809,-0.00869758005929376,Lake,South,4,4,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,Lake/South,7.461655026216183,0.04062733094479074,-0.2659006937923426,1.2730083412166695,1.325997515980431,0.8611415795500039,-1.4354705335689515,0.11911600146051281,1.312060996192268,-0.36792360100903954
RG210253,F,64,41,0.175,1.3065,0.0153440402605448,0.0697927263353418,-0.0285206337116663,Lake,South,0,2,5,0,0,2,2,0,1,0,0,0,0,0,1,0,0,1,0,0,5,3,1,0,1,Lake/South,6.842126474535408,-0.05534926321926642,-0.154977403219025,1.0348251275103717,1.2159021929292602,-1.173189349316078,-0.8366487974028404,0.3020636266339775,1.5168075502313083,-1.1569033724173245
RG210254,F,53,28,0.167,0.9125,0.135098987134099,0.0334442400133957,-0.0169577257055019,Lake,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lake/South,1.434719440291136,-0.01922053112158057,-0.27439930506577903,-0.2751825478742664,0.25496145389605457,-0.4074005883458154,-1.481350466732278,2.5361612392664847,0.7176874607641806,-0.6966866633520824
RG210255,F,70,26,0.181,1.542,0.0200342685283189,-0.00452410732671203,0.0420366347182232,Lake,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lake/South,-12.299287870422262,-0.07341948072709506,-0.06924727493897734,1.749374768629265,-2.1856846915607666,-1.5562077579988896,-0.3738328820701718,0.3895625404517047,-0.11704521158445444,1.6513550570474274
RG210256,F,69,41,0.294,1.6385,-0.0398822338179017,-0.0347777859520873,0.0544671446551851,Lake,South,0,3,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Lake/South,3.3909478537373476,0.043592222190876384,0.052214370347681414,1.6302831617761162,0.602599344927773,0.9239857554156976,0.2818803854701019,-0.7282143726834132,-0.7821711856259841,2.146103296170455
RG210257,F,70,42,0.256,1.2875,0.00716487235298092,-0.0242026369136096,0.0390636589884232,Lake,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lake/South,3.7007121295777368,0.0015805192729049602,-0.3237472749389773,1.749374768629265,0.6576470064533586,0.03350086829548708,-1.7477565284620218,0.1494765312975078,-0.549676936184456,1.5330272881358376
RG210258,M,47,18,0.108,0.9584999999999999,-4.1234294316416e-4,-0.0553252511268004,-0.00727425513636806,Lake,South,0,1,2,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,4,2,6,0,0,0,Lake/South,-4.423866214751195,-0.054150313613751944,-0.07862943334582674,-0.9897321889931598,-0.7861574397609896,-1.1477762755776968,-0.42448266316787114,0.008119209153694577,-1.2339064260787784,-0.3112736724953653
RG210260,F,66,40,0.184,1.403,-0.0534808973848845,-0.0530326536161553,0.0193876047002017,Lake,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lake/South,4.461655026216183,-0.054372669055209294,-0.10840069379234242,1.2730083412166695,0.7928728226027825,-1.15248934708954,-0.5852034439551336,-0.981905285694857,-1.1835037569939673,0.7498982563138408
RG210264,M,47,21,0.168,0.9915,-0.0443038741650567,-0.0150638216315444,0.040509698691569,Lake,South,0,0,1,0,0,1,0,0,0,1,0,0,0,0,23,0,0,0,0,0,1,0,23,1,0,Lake/South,-1.423866214751194,0.005849686386248062,-0.0456294333458266,-0.9897321889931598,-0.253032746383341,0.12399062545780427,-0.24633146343926113,-0.8107026239113883,-0.34876042975436117,1.5905812903820418
RG210265,F,51,40,0.147,0.9175,-0.0106219281672811,-0.0281360596630635,-7.2721857162606e-4,Lake,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lake/South,14.81519088861036,-0.031197125285637714,-0.21947601449246157,-0.5133657615805642,2.6327813666072433,-0.6612578557621958,-1.184845917984414,-0.18234649243649828,-0.6361530857444399,-0.05069427323446524
RG210266,F,63,33,0.201,1.5365,0.0059020457006306,0.0652440942090003,-0.0117469845382137,Lake,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lake/South,-0.46763780130498045,-0.025337560301294956,0.09998424206763369,0.9157335206572227,-0.08310308647750503,-0.5370578424029671,0.5397670508577159,0.1259177716567603,1.416806045916659,-0.48929331986775326
RG210267,M,60,20,0.155,1.3625,-0.0336445696393534,0.0455225918188403,-0.0163618524922456,Lake,South,0,6,5,0,0,2,0,2,1,0,0,0,0,0,1,0,0,0,0,1,5,3,1,0,0,Lake/South,-11.396930628826144,-0.059302451547380654,8.691779276099724e-4,0.558458700097776,-2.0253283823130896,-1.2569815838036706,0.004692275472161918,-0.6118471493367884,0.9832295658711743,-0.67297024105773
RG210268,F,67,33,0.197,1.646,0.0539296928431099,-0.0185565554238719,-0.00509208843095847,Lake,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lake/South,-3.2285806979434275,-0.045384371973180716,0.10963766092099872,1.3920999480698184,-0.5737453648786947,-0.9619723683295748,0.5918812372277085,1.0219012330720352,-0.4255480493511756,-0.2244209898259236
