fish_id;length;weight;gut_length;stomach;parasite;parasite_n;parasite_weight;eggs;sex;site;site.pull;basin;lake/shore;Station;NR.2;NR.3;Gap;Morphology;tanypodinae;orthocladinae;chironominii;tanytarsini;unknown larvae;adult_fly;Alona rectangula;Alona affinis/quad;Unknown alona;alonella nana;macrothrix hirsuticornix;acroperus harpae;daphnia longispina;resting eggs;Copepods_adult;Copepods_nauplii;ostracod;snail;bivalve;stickleback eggs;Fullness;Algae A;Parasite;Unknow;total_nr;hlutf.tanypodinae;hlutf.orthocladinae;hlutf.chironominii;hlutf.tanytarsini;hlutf.unknown larvae;hlutf.adult_fly;hlutf.Alona rectangula;hlutf.Alona affinis/quad;hlutf.Unknown alona;hlutf.alonella nana;hlutf.macrothrix hirsuticornix;hlutf.acroperus harpae;hlutf.daphnia longispina;hlutf.resting eggs;hlutf.Copepods_adult;hlutf.Copepods_nauplii;hlutf.ostracod;hlutf.snail;hlutf.bivalve;hlutf.stickleback eggs;mouth
RG210015;46;0,78;18;1;0;0;0;0;F;GS;GS;North;Shore;Shore;1,307;1,249;0,142;1;1;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;11;0,090909091;0,272727273;0;0;0;0,181818182;0;0;0;0;0;0;0;0;0;0;0;0;0;0,454545455;
RG210016;56;1,25;27;1;0;0;0;0;F;GS;GS;North;Shore;Shore;1,011;1,003;0,118;1;0;10;0;0;1;1;4;0;6;0;0;0;0;0;10;0;2;0;0;0;1;0;0;0;34;0;0,294117647;0;0;0,029411765;0,029411765;0,117647059;0;0,176470588;0;0;0;0;0;0,294117647;0;0,058823529;0;0;0;
RG210019;52;1,06;21;1;0;0;0;0;F;GS;GS;North;Shore;Shore;1,14;1,157;0,149;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;7;0;0;0;0;0;0,571428571;0;0;0;0;0;0;0;0;0;0;0;0;0;0,428571429;
RG210022;50;0,87;21;1;0;0;0;0;M;GS;GS;North;Shore;Shore;1,063;1,207;0,155;1;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;;;;;;;;;;;;;;;;;;;
RG210023;57;1,44;29;1;0;0;0;0;F;GS;GS;North;Shore;Shore;1,278;1,404;0,153;1;0;1;12;0;0;6;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;21;0;0,047619048;0,571428571;0;0;0,285714286;0;0;0;0;0;0;0;0;0,095238095;0;0;0;0;0;
RG210025;59;1,56;35;1;1;1;0,07;0;M;GS;GS;North;Shore;Shore;1,323;1,344;0,321;1;0;0;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;9;0;0;0,111111111;0;0;0,888888889;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
RG210026;54;1,22;21;1;0;0;0;0;F;GS;GS;North;Shore;Shore;1,045;1,223;0,164;1;2;0;4;0;0;13;0;0;2;1;0;0;0;0;0;0;0;0;0;4;2;0;0;0;26;0,076923077;0;0,153846154;0;0;0,5;0;0;0,076923077;0,038461538;0;0;0;0;0;0;0;0;0;0,153846154;
RG210027;52;1,03;20;1;0;0;0;0;M;GS;GS;North;Shore;Shore;1,357;1,327;0,149;1;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
RG210028;57;1,27;26;1;0;0;0;0;F;GS;GS;North;Shore;Shore;1,1;1,241;0,258;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0,333333333;0,666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;open
RG210029;56;1,54;31;1;0;0;0;0;F;GS;GS;North;Shore;Shore;1,092;1,01;0,161;1;6;85;0;0;0;6;0;0;0;0;0;0;0;0;0;0;12;0;0;6;2;0;0;0;115;0,052173913;0,739130435;0;0;0;0,052173913;0;0;0;0;0;0;0;0;0;0;0,104347826;0;0;0,052173913;
RG210030;52;1,09;32;1;0;0;0;0;M;GS;GS;North;Shore;Shore;1,295;1,146;0,16;1;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;;;;;;;;;;;;;;;;;;;
RG210031;53;1,02;26;1;0;0;0;0;F;GS;GS;North;Shore;Shore;1,064;1,148;0,144;1;0;1;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;11;0;0,090909091;0;0;0;0,909090909;0;0;0;0;0;0;0;0;0;0;0;0;0;0;open
RG210032;65;2,2;22;1;0;0;0;0;F;GS;GS;North;Shore;Shore;1,54;1,426;0,253;1;0;1;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;6;0;0,166666667;0,666666667;0;0;0;0;0;0;0;0;0;0;0;0,166666667;0;0;0;0;0;
RG210033;51;0,98;26;1;0;0;0;0;M;GS;GS;North;Shore;Shore;1,372;1,157;0,122;1;2;0;1;0;0;11;3;0;3;0;0;0;0;0;12;0;0;0;0;0;2;0;0;0;32;0,0625;0;0,03125;0;0;0,34375;0,09375;0;0,09375;0;0;0;0;0;0,375;0;0;0;0;0;
RG210034;64;2,2;24;1;0;0;0;1;F;GS;GS;North;Shore;Shore;NA;NA;NA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;;;;;;;;;;;;;;;;;;;
RG210037;54;1,29;20;1;0;0;0;0;M;GS;GS;North;Shore;Shore;1,093;1,065;0,274;1;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;18;3;0;0;0;27;0;0;0;0;0;0,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0,666666667;
RG210039;44;0,6;22;1;0;0;0;0;F;GS;GS;North;Shore;Shore;NA;NA;NA;1;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;12;0;0;0;0;0;0,916666667;0;0;0;0;0;0;0;0;0;0;0;0,083333333;0;0;
RG210040;46;0,82;14;1;0;0;0;0;M;GS;GS;North;Shore;Shore;1,157;1,194;0,166;1;3;15;1;0;0;9;3;0;7;0;0;0;0;0;9;1;0;0;0;0;2;0;7;0;48;0,0625;0,3125;0,020833333;0;0;0,1875;0,0625;0;0,145833333;0;0;0;0;0;0,1875;0,020833333;0;0;0;0;
RG210042;63;2,11;27;1;0;0;0;1;F;GS;GS;North;Shore;Shore;1,096;1,086;0,157;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;2;0;0;0;37;0;0,027027027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,972972973;
RG210043;51;1,13;16;1;0;0;0;0;M;GS;GS;North;Shore;Shore;1,448;1,33;0,247;1;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;;;;;;;;;;;;;;;;;;;
RG210044;70;3,2;31;1;1;3;0,23;1;F;GS;GS;North;Shore;Shore;1,352;1,21;0,287;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;18;3;0;0;8;21;0;0;0,047619048;0;0;0;0,047619048;0,047619048;0;0;0;0;0;0;0;0;0;0;0;0,857142857;
RG210045;48;0,82;22;1;0;0;0;0;F;GS;GS;North;Shore;Shore;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;;;;;;;;;;;;;;;;;;;
RG210046;49;0,88;;1;0;0;0;0;F;GS;GS;North;Shore;Shore;1,373;1,277;0,134;1;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;;;;;;;;;;;;;;;;;;;
RG210047;48;0,87;23;1;0;0;0;0;F;GS;GS;North;Shore;Shore;1,002;1,045;0,126;1;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;;;;;;;;;;;;;;;;;;;
RG210049;53;1,07;28;1;0;0;0;0;F;GS;GS;North;Shore;Shore;1,418;1,579;0,149;1;0;7;0;0;0;1;0;2;2;0;0;0;0;0;116;0;1;0;0;0;3;0;0;0;129;0;0,054263566;0;0;0;0,007751938;0;0,015503876;0,015503876;0;0;0;0;0;0,899224806;0;0,007751938;0;0;0;
RG210054;55;1,36;29;1;1;3;0,19;0;M;NS;NS;North;Shore;Shore;1,222;1,227;0,242;1;22;79;0;0;2;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;123;0,178861789;0,642276423;0;0;0,016260163;0,162601626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
RG210055;51;1,3;25;1;0;0;0;0;M;NS;NS;North;Shore;Shore;1,312;1,267;0,21;1;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;;;;;;;;;;;;;;;;;;;
RG210056;42;0,88;22;1;0;0;0;0;F;NS;NS;North;Shore;Shore;0,976;0,997;0,118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
RG210057;60;2,04;28;1;0;0;0;0;M;NS;NS;North;Shore;Shore;1,894;1,977;0,189;1;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;;;;;;;;;;;;;;;;;;;
RG210058;57;1,47;27;1;0;0;0;0;F;NS;NS;North;Shore;Shore;1,347;1,353;0,138;1;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;;;;;;;;;;;;;;;;;;;
RG210060;56;1,45;31;1;0;0;0;0;M;NS;NS;North;Shore;Shore;1,536;1,66;0,14;1;0;0;11;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;13;0;0;0,846153846;0;0;0,153846154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
RG210061;65;2,18;42;1;0;0;0;0;F;NS;NS;North;Shore;Shore;1,415;1,24;0,308;1;0;46;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;50;0;0,92;0;0;0;0,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
RG210062;65;2;44;1;0;0;0;0;F;NS;NS;North;Shore;Shore;1,148;1,252;0,182;1;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;;;;;;;;;;;;;;;;;;;
RG210063;82;4,9;41;1;1;1;0,27;1;F;NS;NS;North;Shore;Shore;1,791;1,756;0,326;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;7;0;0;0,142857143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,857142857;
RG210064;57;1,45;30;1;0;0;0;0;M;NS;NS;North;Shore;Shore;1,441;1,446;0,217;1;0;2;7;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;15;0;0,133333333;0,466666667;0;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
RG210067;59;1,68;22;1;0;0;0;0;M;NS;NS;North;Shore;Shore;1,342;1,253;0,16;1;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;;;;;;;;;;;;;;;;;;;
RG210068;59;2,18;28;1;1;1;0,27;0;M;NS;NS;North;Shore;Shore;1,395;1,437;0,269;1;0;0;6;0;0;1;0;0;13;0;0;0;0;4;5;0;0;0;0;0;1;0;0;0;29;0;0;0,206896552;0;0;0,034482759;0;0;0,448275862;0;0;0;0;0,137931034;0,172413793;0;0;0;0;0;
RG210069;46;0,79;26;1;0;0;0;0;M;NS;NS;North;Shore;Shore;0,848;0,898;0,177;1;0;8;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;21;0;0,380952381;0;0;0;0,476190476;0;0;0;0;0;0;0;0;0;0;0;0;0;0,142857143;
RG210071;57;1,21;27;1;0;0;0;0;M;NS;NS;North;Shore;Shore;1,586;1,531;0,191;1;6;14;1;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;35;0,171428571;0,4;0,028571429;0;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;open
RG210072;55;1,41;30;1;0;0;0;0;M;NS;NS;North;Shore;Shore;1,37;1,28;0,185;1;2;8;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;31;3;0;0;0;52;0,038461538;0,153846154;0;0;0;0,211538462;0;0;0;0;0;0;0;0;0;0;0;0;0;0,596153846;
RG210074;48;0,96;25;1;0;0;0;0;M;NS;NS;North;Shore;Shore;0,961;1;0,108;1;5;15;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;25;0,2;0,6;0;0;0;0,16;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04;
RG210075;62;2,1;42;1;0;0;0;1;F;NS;NS;North;Shore;Shore;1,434;1,569;0,165;1;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;;;;;;;;;;;;;;;;;;;
RG210076;71;2,9;50;1;0;0;0;0;F;NS;NS;North;Shore;Shore;1,44;1,639;0,227;1;0;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;8;1;0;4;0;0;0;14;0;0,142857143;0,142857143;0;0;0;0;0;0,071428571;0;0;0;0;0;0;0;0;0,571428571;0,071428571;0;
RG210077;70;2,69;41;1;0;0;0;0;F;NS;NS;North;Shore;Shore;1,248;1,416;0,315;1;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;;;;;;;;;;;;;;;;;;;
RG210078;47;0,9;21;1;0;0;0;0;F;NS;NS;North;Shore;Shore;0,749;0,522;0,059;1;0;34;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;40;0;0,85;0;0;0;0,15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
RG210081;57;1,6;26;1;0;0;0;1;F;NS;NS;North;Shore;Shore;1,644;1,412;0,188;1;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;;;;;;;;;;;;;;;;;;;
RG210082;60;1,74;22;1;0;0;0;0;M;NS;NS;North;Shore;Shore;1,64;1,492;0,252;1;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;6;0;0;0;0;0;0,666666667;0;0;0,333333333;0;0;0;0;0;0;0;0;0;0;0;
RG210083;52;1,04;27;1;0;0;0;0;F;NS;NS;North;Shore;Shore;1,25;1,097;0,18;1;8;30;1;0;0;3;0;0;2;0;0;0;0;0;1;0;0;0;2;5;2;0;0;0;52;0,153846154;0,576923077;0,019230769;0;0;0,057692308;0;0;0,038461538;0;0;0;0;0;0,019230769;0;0;0;0,038461538;0,096153846;
RG210084;65;1,87;32;1;0;0;0;0;F;NS;NS;North;Shore;Shore;1,474;1,542;0,214;1;0;5;6;0;0;2;1;1;5;0;0;0;0;0;11;0;0;0;0;10;2;0;0;0;41;0;0,12195122;0,146341463;0;0;0,048780488;0,024390244;0,024390244;0,12195122;0;0;0;0;0;0,268292683;0;0;0;0;0,243902439;
RG210085;54;1,52;26;1;0;0;0;0;M;NS;NS;North;Shore;Shore;1,585;1,342;0,205;1;0;2;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;20;0;0,1;0;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;
RG210087;53;1,4;25;1;0;0;0;0;F;NS;NS;North;Shore;Shore;1,099;1,055;0,171;1;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;;;;;;;;;;;;;;;;;;;
RG210088;60;1,7;35;1;0;0;0;0;F;NS;NS;North;Shore;Shore;1,128;1,171;0,364;1;0;3;2;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;21;0;0,142857143;0,095238095;0;0;0,571428571;0;0;0;0;0;0;0;0;0;0;0;0;0,19047619;0;
RG210089;48;1,05;23;1;0;0;0;0;F;NS;NS;North;Shore;Shore;1,164;1,079;0,185;1;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;;;;;;;;;;;;;;;;;;;
RG210090;57;2,18;32;1;0;0;0;0;F;NS;NS;North;Shore;Shore;1,267;1,171;0,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;;;;;;;;;;;;;;;;;;;
RG210094;53;1;27;1;0;0;0;0;M;NS;NS;North;Shore;Shore;1,265;1,383;0,192;1;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0,25;0;0;0,75;0;0;0;0;0;0;0;0;0;0;0;
RG210095;56;1,46;33;1;0;0;0;0;M;NS;NS;North;Shore;Shore;1,778;1,758;0,138;1;0;9;10;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;22;0;0,409090909;0,454545455;0;0;0,090909091;0;0;0;0;0;0;0;0;0;0;0;0,045454545;0;0;
RG210097;57;1,6;26;1;0;0;0;0;M;NS;NS;North;Shore;Shore;1,711;1,819;0,247;1;0;2;2;0;0;10;0;0;0;0;0;0;0;0;5;0;0;0;0;0;2;0;0;0;19;0;0,105263158;0,105263158;0;0;0,526315789;0;0;0;0;0;0;0;0;0,263157895;0;0;0;0;0;
RG210098;48;0,9;23;1;0;0;0;0;M;NS;NS;North;Shore;Shore;0,929;0,966;0,157;1;0;9;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;15;0;0,6;0;0;0;0,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0,066666667;0;
RG210099;41;0,65;21;1;1;1;0,13;0;M;NS;NS;North;Shore;Shore;0,752;0,756;0,127;1;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;;;;;;;;;;;;;;;;;;;
RG210100;57;1,61;29;1;1;1;0,04;0;M;NS;NS;North;Shore;Shore;1,355;1,469;0,227;1;0;1;10;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;37;0;0,027027027;0,27027027;0;0;0,702702703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
RG210101;57;1,6;30;1;0;0;0;0;M;44;23&44;South;Lake;Lake;NA;NA;NA;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;32;0;0;0;0;4;1;0;0;0;37;0;0;0;0;0;0,027027027;0;0;0;0;0;0;0;0;0,864864865;0;0;0;0;0,108108108;
RG210102;50;1,39;30;1;0;0;0;0;F;44;23&44;South;Lake;Lake;1,06;1,091;0,201;;0;1;0;0;0;10;0;0;17;0;0;0;0;1;25;0;0;0;0;0;2;0;0;0;54;0;0,018518519;0;0;0;0,185185185;0;0;0,314814815;0;0;0;0;0,018518519;0,462962963;0;0;0;0;0;
RG210104;47;1,03;21;1;0;0;0;0;F;44;23&44;South;Lake;Lake;1,049;1,011;0,14;1;0;3;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;9;0;0,333333333;0;0;0;0,555555556;0;0;0;0;0;0;0;0;0;0,111111111;0;0;0;0;
RG210105;57;0,32;;1;0;0;0;0;M;44;23&44;South;Lake;Lake;1,368;1,254;0,18;1;0;1;3;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;15;0;0,066666667;0,2;0;0;0,733333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
RG210106;53;2,05;36;1;0;0;0;0;F;44;23&44;South;Lake;Lake;1,092;1,271;0,151;;0;6;0;0;0;13;8;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;27;0;0,222222222;0;0;0;0,481481481;0,296296296;0;0;0;0;0;0;0;0;0;0;0;0;0;
RG210107;52;0,7;22;1;0;0;0;1;F;44;23&44;South;Lake;Lake;1,176;1,17;0,157;1;0;0;2;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;9;0;0;0,222222222;0;0;0,777777778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
RG210108;42;0,66;;1;0;0;0;0;F;44;23&44;South;Lake;Lake;0,851;0,796;0,145;1;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;5;0;0;0,2;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
RG210109;48;0,9;16;1;0;0;0;0;M;44;23&44;South;Lake;Lake;1,22;1,014;0,161;1;0;0;2;0;0;3;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;10;0;0;0,2;0;0;0,3;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;
RG210151;57;1,45;22;1;0;0;0;0;M;23;23&44;South;Lake;Lake;1,231;1,061;0,401;1;0;1;9;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;16;0;0,0625;0,5625;0;0;0,3125;0;0;0;0;0;0;0;0;0,0625;0;0;0;0;0;
RG210152;58;1,87;31;1;0;0;0;1;F;23;23&44;South;Lake;Lake;1,228;1,145;0,266;1;0;1;6;0;0;11;0;0;29;0;0;0;0;0;21;0;0;0;0;0;2;0;0;0;68;0;0,014705882;0,088235294;0;0;0,161764706;0;0;0,426470588;0;0;0;0;0;0,308823529;0;0;0;0;0;
RG210153;46;0,8;26;1;0;0;0;0;M;23;23&44;South;Lake;Lake;1,165;1,102;0,131;1;0;1;0;0;0;7;0;0;3;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;12;0;0,083333333;0;0;0;0,583333333;0;0;0,25;0;0;0;0;0;0,083333333;0;0;0;0;0;
RG210154;41;0,35;16;1;0;0;0;0;F;23;23&44;South;Lake;Lake;0,612;0,61;0,161;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
RG210155;55;1,46;31;1;0;0;0;0;M;23;23&44;South;Lake;Lake;1,286;1,162;0,149;1;0;1;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;15;0;0,066666667;0;0;0;0,933333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;open
RG210156;64;2,63;39;1;0;0;0;0;F;23;23&44;South;Lake;Lake;1,433;1,264;0,176;1;0;0;5;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;16;0;0;0,3125;0;0;0,6875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
RG210157;46;0,8;16;1;0;0;0;0;F;23;23&44;South;Lake;Lake;1,117;0,954;0,143;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
RG210158;73;3,01;40;1;0;0;0;0;F;23;23&44;South;Lake;Lake;1,555;1,406;0,26;1;0;0;19;0;0;7;0;0;96;0;0;0;0;0;8;0;0;0;0;0;3;0;0;0;130;0;0;0,146153846;0;0;0,053846154;0;0;0,738461538;0;0;0;0;0;0,061538462;0;0;0;0;0;open
RG210159;54;1,17;31;1;0;0;0;0;F;23;23&44;South;Lake;Lake;1,008;0,918;0,268;1;0;0;3;0;0;7;0;0;52;0;0;0;0;0;25;0;0;0;0;0;2;0;0;0;87;0;0;0,034482759;0;0;0,08045977;0;0;0,597701149;0;0;0;0;0;0,287356322;0;0;0;0;0;
RG210201;37;0,39;19;1;1;1;0,03;0;F;HS2;HS2;North;Shore;HS2;0,823;0,823;0,122;1;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;;;;;;;;;;;;;;;;;;;
RG210202;43;0,61;26;1;1;1;0,01;0;F;HS2;HS2;North;Shore;HS2;0,727;0,753;0,208;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;;;;;;;;;;;;;;;;;;;
RG210203;59;1,5;25;1;0;0;0;0;M;HS2;HS2;North;Shore;HS2;1,235;1,083;0,195;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;5;0;0;0;0;0;0,2;0;0;0,4;0;0;0;0;0;0,2;0;0;0,2;0;0;
