"","Comp1","Comp2","Comp3","Comp4","Comp5","Comp6","Comp7","Comp8","Comp9","Comp10","Comp11","Comp12","Comp13","Comp14","Comp15","Comp16","Comp17","Comp18","Comp19","Comp20","Comp21","Comp22","Comp23","Comp24","Comp25","Comp26","Comp27","Comp28","Comp29","Comp30","Comp31","Comp32","Comp33","Comp34","Comp35","Comp36","Comp37","Comp38","Comp39","Comp40","Comp41","Comp42","Comp43","Comp44","Comp45","Comp46","Comp47","Comp48","Comp49","Comp50","Comp51","Comp52","Comp53","Comp54","Comp55","Comp56","Comp57","Comp58","Comp59","Comp60","Comp61","Comp62","Comp63","Comp64","Comp65"
"RG210015",0.122651171984001,-0.10817563486647,-0.0337848789222929,-0.00865919024925358,-0.0359702125389879,0.0147624009771182,0.0166130342965898,0.00254845868940565,4.4461890732841e-05,-0.00382923173864972,-0.00109634843827391,-0.0153328031398218,-0.00205454894597271,-0.00758433972812758,0.00794778622729383,0.00369381547402236,-0.0019542069162571,0.00293258245776206,0.00409394055755362,0.000652479270869357,0.000716432199413196,0.00221197576251062,-0.000118113227610993,0.000362358022243565,0.00162092216724658,0.00117896587282483,0.00114828922218929,-0.00374627809324279,0.00132515373894601,-0.00333236316778869,-0.00168493381436299,-0.000957276233879512,0.000100014869866039,-0.00424147542626234,0.000428230266707462,-0.000419240519715749,-0.000835929964165184,-0.00168898611273671,0.000522351415399246,-0.000235263889952152,-1.99487212043931e-05,-0.00111368088700817,0.000311984498974493,-0.000844813466044845,-0.00029170622048128,0.000108197250139246,0.000503194617813891,0.000266446659409227,-0.000573787991900218,0.000878118971272566,0.000488674227031322,6.27729354035572e-05,0.00042658728777672,0.000140288775933834,-0.00019857640419363,8.84909784935147e-05,0.00019034081027015,-7.2486829730708e-05,1.81334153116947e-05,-5.29619355077308e-06,-2.1269088837148e-05,2.47766722047242e-05,2.11050576243077e-05,-6.46184766175822e-05,-6.85266484615893e-10
"RG210016",0.0135450053949266,-0.00435840921380311,0.00531784926058503,0.00625068049264762,-0.0260540995070382,-0.0031828567692006,-0.0104973960489087,0.0192197040074771,0.00141620710726644,0.00759426503783981,-0.0245699435977952,0.0114009880532321,-0.0092342863065232,-0.0061328094433581,0.00329331382844757,-0.00207063105923773,-0.00525441707777584,-0.00513123747601687,0.00694603957749384,-0.000347988445864329,-0.00581338048678269,-0.00197518298116253,0.00163228063457002,0.000623429888423646,0.000405320589758673,0.000215166792029034,0.000840887678428122,-0.00346171805783792,0.00133341134837931,0.000245701952825536,-0.00091631965991673,0.000408066571849746,-0.00037090855176964,-0.000649339327198027,1.08692728204455e-05,-0.000681550788802026,0.000320301038646906,0.00155007109950836,-0.000589817556545401,0.000670600674669104,-5.38488893739325e-05,-0.000477561740616968,-0.000974094624519276,6.40292081080574e-05,3.79271597717682e-05,0.000369348183503808,-0.000546772990102619,-0.000133495149266751,-0.0010409313104946,-0.000154122633245602,-0.000167029493595921,-0.000145972480742223,-0.000136451603218541,6.8731553783946e-06,0.000186191821309576,3.13909508712011e-05,-2.01466121678396e-05,-2.67034551320134e-05,4.68802936501126e-05,6.06947774019553e-05,-3.89753076670943e-05,-3.79690768686629e-05,-7.55829029611527e-05,8.48062794448652e-06,-3.4892450821028e-09
"RG210019",-0.0533099642126316,-0.0270644984132618,-0.0313182181119491,0.0046442766984038,0.00370359888043849,-0.00795830526707596,0.00962849537671907,-0.00343277610515693,-0.0172518889147627,-0.0122722512454298,-0.0149820243853514,0.00639397382000096,-0.011464175218429,-0.00582588708960719,-0.00236784682567322,0.00212180131289632,-0.00547916613620333,-0.00321366594942965,0.00690612995789664,0.00387478628478913,-0.000232650876615145,-0.00179539483865252,-0.0043228386474236,-0.00133507413696352,-0.00193605754811931,-0.0029116990982092,0.00174466457057956,0.00103945730709848,0.000258884907161822,-0.00153817474308391,-0.0007303206596834,0.000833921332043856,-0.000168324587739695,0.000716123793732157,0.000751840716317725,-6.64551156451098e-05,-0.000148998484252695,-0.00056857595473685,0.00177023389096522,-2.58498779670769e-05,0.000747894630135054,0.000236786474372429,0.000696613634002164,0.000397326312617811,-0.000193147890370228,-0.000228115879423726,0.000245750645370964,-0.000269944301035643,6.76691483632808e-05,1.0449691608005e-05,3.58032070868211e-05,0.000129219986443566,4.80182964910779e-05,-0.000295140059803122,0.00012987491567603,-8.55064427527229e-05,7.92878974519151e-05,4.31387197647809e-05,-7.46356782567365e-05,1.13137970578166e-06,-5.93875644176419e-05,4.05226305774641e-06,-3.95031148443908e-05,-7.90653679452605e-06,-6.69544639782943e-10
"RG210022",-0.0521844657546578,-0.0352296188696441,-0.0550073712225484,-0.00338814537545342,-0.00684665151564093,-0.00289884719349753,0.00481057977458872,0.00708978114152398,-0.0061608693935817,0.0158651214289668,0.00199700778136457,-0.0100569604669814,-0.00432106139684815,-0.00300496023649838,-0.013120954144157,0.00439195794516592,-0.0116324970818057,0.00266264208579515,0.00160936206243386,-0.00105049565006737,0.000546413290703089,-0.000380690027442452,0.00339142855345006,0.00420508974174835,0.00271835389284275,0.00362175794358444,0.00474222530118353,-0.00382560585093266,-0.000567286497088842,5.68501024452561e-05,0.00119690032608008,0.000930574549922854,0.00115495839531374,-0.000831544162576418,0.000487453071311901,-3.4197262262198e-05,-0.000954192080796046,-0.000607946407512313,-2.51044853696639e-05,2.38716124269729e-05,0.000523019312405654,0.00042826018900723,-0.000543446844777439,-0.00145447107761336,-0.000304036354435723,3.45103148090981e-05,0.000214656509830574,0.000366855679408633,-7.83329226147113e-05,-0.000382762207023666,-7.23386675710828e-05,-4.33803062545046e-05,-0.000112213745595657,0.000131105131439893,0.000200954218563153,2.31384122810731e-05,-2.99940039258166e-05,-5.48906982225008e-05,5.19827716814233e-05,4.67415156118795e-05,6.02076656731107e-06,-5.51189226119061e-05,3.28465746442698e-05,-3.93527409095827e-05,4.64855701414607e-09
"RG210023",0.00985630921290602,0.0546393025460165,-0.0254180386893702,-0.00625243124888852,-0.0117051636727347,0.00400783801609563,-0.0273386815593918,-0.00514216491623698,-0.0143233272144113,0.000271958239679434,-0.0175369031217441,-0.00128178242297708,-0.00958104522817178,0.000974205135674541,-0.000598427468392914,-0.00451476722262756,-0.000981700034078526,-0.00215747639404837,-0.000655574332665313,0.00285697789619779,-0.00303818713433001,0.000540262611917697,-0.000457780095190166,0.000391332971322419,0.00319321863064242,0.000996729465726672,0.000905049578394973,0.00197979320084666,0.00225635462611154,-0.000286000261607108,0.000492306129112071,-0.00222494249004707,-0.00261881015864188,-0.0014866186561684,0.00141060250430311,-0.000898353275077037,0.000987821231837463,0.00132505318839796,0.000756994644371048,0.000960085501283479,0.000359556179287384,-0.000183240167519286,-0.000289678054449753,-4.72802449414398e-05,2.67299296286556e-05,-0.000995745918381354,0.000337198603638891,-9.72367181563688e-05,6.88637215740325e-07,-5.69618458039561e-05,0.000173310888215876,7.71943750875272e-05,-7.56474148619392e-06,1.79369234695619e-05,-7.86198257616198e-05,2.76031635727403e-05,3.0280593570316e-05,3.14326646553516e-05,1.65054714525829e-05,4.1573031258086e-05,1.6820033397318e-05,1.68352636454857e-05,2.13854703541362e-06,-3.65942435818433e-06,-4.63272765798255e-09
"RG210025",-0.0316994969930751,0.00675632473711134,-0.0266024179005874,0.0106332579288752,-0.0210156749715537,-0.015466567150851,-0.0111728582314667,-0.00946415140602024,-0.00344338690960949,-0.00864554694317394,-0.010997110814383,-0.0194839754778754,-0.00627135787441808,-0.00428528476386938,0.00428766057442333,-0.00460256017775618,-0.00110047285715694,-0.00933929278943585,-0.00702093105719259,0.0035393035496689,0.00182559231715394,0.00553773558608166,0.000660666210543554,-0.000390252207638994,0.00123019308913625,-0.00737981483568578,0.00069383417271423,-0.00146473564989949,-0.000905813346196133,-0.00221388461697612,8.43751946944535e-05,-0.000421826697380823,0.00134696705145651,-0.000659964388655209,0.00194298128689256,-0.000891291473019946,-0.000571280755433704,-0.000572997987197684,0.000463756950622254,0.00095829814010719,-0.00045182477501194,-0.000940873131219901,0.000489487211212519,0.000472364034689222,0.000263049264516899,-7.35797358278994e-06,6.66972922524336e-05,2.2232813188751e-05,0.000184081493579667,-0.000213184521700001,-0.000114461143013212,8.98812056129881e-05,9.86238332424996e-05,-0.000269363514762509,8.19837420500599e-05,-2.04261303258162e-05,4.5712998156007e-05,1.48152748063368e-05,-6.58922600590844e-05,6.01012207735516e-06,-4.01406355931811e-05,-4.60368830716884e-06,-2.00806219470629e-05,1.8571765401416e-05,-1.82529306816739e-09
"RG210026",0.0421914128601677,0.0386020683140776,0.0201931264383498,0.000961173150134056,0.0149454960058497,-0.015774108859965,0.0137990222793223,-0.00334105923744272,-0.00532658472925663,0.0195035790891761,-0.0040539420248197,0.00127107923241144,-0.00841030570846089,-0.00715976361132651,-0.0114880856790889,-0.00186762782236383,-0.000384126040724338,-0.00163323239038653,0.000669425520494354,-0.000317598743316468,0.00490656053736874,0.00344934339054007,0.00154435308814467,-0.000594514275228305,-0.00230301956166182,5.78070812496641e-05,-0.00227095953086786,-0.000939723823684107,0.00231226410487596,-0.00488131485747346,-0.00163305134110437,0.000833830043314969,-0.00208491600027278,0.0020542407244885,-0.000730274210556947,-0.000689455269391723,0.00145204004615868,-0.00134711069159855,-0.000218062262194294,0.000550069701542361,-0.000937515956644013,-0.00048332481660535,-0.000184777250266811,-0.00081449328366042,0.000102464131005368,-9.98036755604262e-05,-0.000759938454823681,0.000101786403550203,5.23813250402126e-05,9.79224281348498e-05,5.02200116332475e-05,0.000259211608585071,0.000129387636942527,0.00014408971007536,-2.46055249537778e-05,-8.1157574647287e-05,-8.88574762293206e-06,3.28527081619715e-05,8.66293975470071e-05,4.84960675606055e-06,-4.12767935830596e-05,4.42741479734152e-05,2.02095165212584e-05,-3.54780951391736e-06,3.39561696902774e-11
"RG210027",-0.0935939337626765,0.0227074954898955,-0.0331102646665642,0.0105205427776951,-0.00569073341467525,-0.0230494663615611,0.00103817844800667,0.00376421454073017,-0.00424902548482926,-0.00345156398537312,-0.00277402028072504,-0.00142202576430069,-0.00878734302692514,0.00119876184686184,0.0029508968212361,0.00113710248594983,-0.000324158254977987,-0.00421657915248782,0.00457997448904644,0.00375033734281506,0.00429659324128285,0.000603328273252198,0.00747729765779117,-0.000967403796568228,-0.000457777000707297,0.00172708618681803,-0.00140108139190168,-0.00295878897178685,0.00249304186673018,0.00220806258484808,-0.00154433135909857,-0.00127005292165921,0.000543321010045239,-0.000200315183265107,0.00123115048395219,0.00272034794494401,-0.00331916863719759,-0.000833696903179594,0.000697981890140486,-0.000114194996103491,0.000384957041523255,-0.000204813415752921,0.000262385755661169,-0.0014191720199001,0.000242789427543352,0.000438493763827108,-0.000608457726786821,0.000514287785856241,-0.000153615600068119,-0.000176986588543036,-0.00026810471393593,0.00017963943341213,-0.000159548015609173,-0.000277490133038871,-0.000174926248855504,0.000119851192676647,8.81382734643462e-06,-1.99688648633362e-05,7.60353159441782e-05,5.97184252988707e-05,3.88953355005206e-05,2.91755716317802e-05,4.23571638425547e-05,2.649839010048e-06,7.49707975496346e-10
"RG210028",0.00156609811818263,0.0396077179597077,0.0596784982206153,-0.0307314196311538,0.0320180961649199,-6.30305542697495e-05,-0.0113927572091777,-0.0282108455817836,-0.013179842378837,0.0137880918364602,0.0104096193156251,0.010790298792742,-0.0120311533921353,-0.0292397660642324,0.00752336727493433,0.0142187067675882,0.0108645451278472,0.00119542800912073,-0.00399411235811767,0.00444856142848735,0.0111314826069021,-0.00048223677041238,-0.0054723152488282,0.00015113111477018,-0.00268411464977284,-0.000571094971919875,-0.00139501296901369,0.00189394997541319,0.00185410612542319,-0.00414838297947688,0.00128268308989315,0.00109438596214017,0.00188522085187045,-0.00186539563779592,-0.00358333162811,0.00271200815909172,-0.00263107772514627,0.00015043405326573,3.39336267055521e-05,0.000468655019621619,0.000947318312879436,-0.000411083972271631,0.000265213135078856,0.00108362883365771,0.000548107793830571,-0.000298101009003047,-0.000214040860654794,0.000112549878973195,-0.000240544158580745,0.00060732477129688,0.00110469442754801,-0.000998918914849888,-0.000901029159730073,-0.000120561253551571,-0.000200967141070296,-0.000136008507157788,-0.000185925571344801,-0.000195505846031703,-5.78560135820121e-05,3.99479164982036e-05,1.4457686916513e-05,1.94744155593816e-05,-2.58136143742759e-05,-5.483679284408e-05,3.15237960453289e-09
"RG210029",0.0410389166643997,0.0277586359884425,0.0223652876270854,0.00483231600744642,0.00777402576082885,-0.00931831651521263,-0.00175636202489292,0.00253907099983064,-0.00193468049625451,0.013957637725575,-0.0110942655685443,0.00162698438258864,0.00240980659666465,0.00214651407649208,-0.00544609856003662,0.00224659926834776,-0.0035721325550731,-0.00590339617409526,0.00672818954541201,0.00515941051488532,-0.00197642978236352,0.00631235222051192,0.00570332769777643,-0.000933628826508221,0.000962784008956457,-0.00065199153854317,0.000523749673159693,-0.000977804377690202,0.00210889412332081,0.00297517619177579,0.00146844103647966,-0.000395356634881721,9.97809596914879e-05,-0.00244382934789493,-0.000293223526265875,0.000981149391463256,0.000366503453328331,0.00160483694139166,2.17318381291626e-05,0.000757460687366757,1.90667896848084e-05,0.00103912918247698,-0.00038199864618973,-0.00110190727604076,0.000504056210987138,0.000350508366162789,-0.000706626779579613,-0.000437876877910816,-0.000229532678926514,6.07017485666096e-05,-0.000533081086019196,-0.000238899764131218,6.32888386195714e-05,-0.000230841007546247,0.00021747766904353,-9.25532501033336e-05,6.21533089186308e-05,-3.26922559934094e-05,-7.85144945113257e-05,7.37888531476612e-06,-9.94678291662703e-05,4.24340512183093e-05,-7.54392164120374e-05,-1.34307369255936e-05,8.32350089351695e-09
